02:18:29,576;L1;L2;L3;P1;P2;P3;zapylenie;kierunek wiatru;predkosc wiatru;temp pkt rosy;PH;temp1;wilgotnosc;metan
20:48:55,627;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,630;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,637;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,642;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,649;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,655;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,660;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,671;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,678;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,682;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,688;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,692;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,699;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,703;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,708;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,713;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,719;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,723;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,727;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,737;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,742;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,748;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,757;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
20:48:55,763;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;224,814880;0,000000;4,766599;10,407715;13,459999;55,681725;0,000000
